mid,text,href
82tEkBl2,16.08. 20:15 Górnik Zabrze Wisła Kraków 2 1,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/wisla-krakow-rob20Q2Q/?mid=82tEkBl2
IV2YxY4d,16.08. 17:30 Cracovia Raków Częstochowa 2 1,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/rakow-czestochowa-SQOrbYim/?mid=IV2YxY4d
A5aQvfzp,16.08. 14:45 Motor Lublin GKS Katowice 1 0,https://www.flashscore.pl/mecz/pilka-nozna/gks-katowice-K4AgRmS1/motor-lublin-IoLk2VlL/?mid=A5aQvfzp
dtlSbFRF,15.08. 20:15 Widzew Łódź Korona Kielce 1 2,https://www.flashscore.pl/mecz/pilka-nozna/korona-kielce-pp78XcbA/widzew-lodz-rNOIW3uC/?mid=dtlSbFRF
46izcgdS,15.08. 17:30 Piast Gliwice Wieczysta Kraków 3 4,https://www.flashscore.pl/mecz/pilka-nozna/ks-wieczysta-krakow-ImhQf1z6/piast-gliwice-ve2oT9ck/?mid=46izcgdS
KjmaDEt9,15.08. 14:45 Zagłębie Lubin Śląsk Wrocław 2 1,https://www.flashscore.pl/mecz/pilka-nozna/slask-wroclaw-E1Oxemse/zaglebie-lubin-tlYOere0/?mid=KjmaDEt9
APkK0yc3,14.08. 20:30 Legia Warszawa Radomiak Radom 5 0,https://www.flashscore.pl/mecz/pilka-nozna/legia-warszawa-K6kUepBs/radomiak-radom-zD5nYhAT/?mid=APkK0yc3
WhZpaOLb,09.08. 20:15 Jagiellonia Białystok Widzew Łódź 0 2,https://www.flashscore.pl/mecz/pilka-nozna/jagiellonia-bialystok-lIDaZJTc/widzew-lodz-rNOIW3uC/?mid=WhZpaOLb
46Xhc2jB,09.08. 17:30 Lech Poznań Piast Gliwice 3 0,https://www.flashscore.pl/mecz/pilka-nozna/lech-poznan-OpNH7Ouf/piast-gliwice-ve2oT9ck/?mid=46Xhc2jB
QeWx1pin,09.08. 14:45 Śląsk Wrocław Cracovia 0 0,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/slask-wroclaw-E1Oxemse/?mid=QeWx1pin
bkblU3MO,08.08. 20:15 Korona Kielce Legia Warszawa 1 1,https://www.flashscore.pl/mecz/pilka-nozna/korona-kielce-pp78XcbA/legia-warszawa-K6kUepBs/?mid=bkblU3MO
